feature_name,domain,ic,rank_ic,icir,abs_ic,n_obs,n_dates,n_tickers,passed
atr_14,technical,0.028113822825777228,0.01764923303193271,0.10874822750533204,0.028113822825777228,728108,1508,500,True
vol_60d,technical,0.025721256988415857,0.01611204382140843,0.10077589706470429,0.025721256988415857,726171,1508,500,True
gk_vol,technical,0.02515086922164321,0.014495143765118996,0.10535017382320847,0.02515086922164321,727875,1508,500,True
vol_20d,technical,0.023604511417986824,0.013904070734474213,0.10062802191634065,0.023604511417986824,727836,1508,500,True
vol_rank,technical,0.023604511417986824,0.013904070734474213,0.10062802191634065,0.023604511417986824,727836,1508,500,True
bb_width,technical,0.017308532100549827,0.008840251036371484,0.08972806996410933,0.017308532100549827,727875,1508,500,True
low_52w_ratio,technical,0.013806388588464707,0.012057433362807795,0.07768086401629071,0.013806388588464707,727875,1508,500,True
revenue_growth_yoy,fundamental,0.011881509457512412,0.015479063042408397,0.07942496912126656,0.011881509457512412,727591,1508,500,True
trend_confirmation,composite,-0.011760974511100832,-0.011352873371084109,-0.0787223667444007,0.011760974511100832,727303,1508,500,True
high_52w_ratio,technical,-0.011513931929290322,-0.004364282838964068,-0.05214495195742897,0.011513931929290322,727875,1508,500,True
macd_histogram,technical,-0.010648240514637827,-0.011099850700700855,-0.07228338761475267,0.010648240514637827,727303,1508,500,True
mean_reversion_combo,composite,-0.01035594763339672,-0.010818525152176774,-0.07026041527889756,0.01035594763339672,727875,1508,500,True
current_ratio,fundamental,0.010341792557320189,0.0073749272582182635,0.08268851303740603,0.010341792557320189,710001,1508,498,True
ret_vol_interaction_60d,composite,-0.01026063651472819,-0.010039487501404923,-0.05359430214276316,0.01026063651472819,726171,1508,500,True
momentum_rank_60d,technical,-0.009939351824312562,-0.009641879167720135,-0.05154064056246148,0.009939351824312562,726171,1508,500,False
ret_60d,technical,-0.009939351824312562,-0.009641879167720135,-0.05154064056246148,0.009939351824312562,726171,1508,500,False
ret_5d,technical,-0.009815214252044714,-0.01167523063825736,-0.0549430819566563,0.009815214252044714,728404,1508,500,False
amihud,technical,0.009720738721116872,0.007747287039529753,0.08502426994184938,0.009720738721116872,727836,1508,500,False
earnings_growth_yoy,fundamental,0.009690862189438437,0.01199754544002479,0.09072301689419746,0.009690862189438437,727661,1508,500,False
value_mom_pb,composite,-0.009670544738930765,-0.012988611445630342,-0.060574241842245094,0.009670544738930765,724345,1508,499,False
cci_20,technical,-0.009640996908619455,-0.009248379183134743,-0.06154879443481606,0.009640996908619455,727875,1508,500,False
bb_position,technical,-0.009413452969725854,-0.009262657194292161,-0.05942346119528402,0.009413452969725854,727875,1508,500,False
macd_signal,technical,-0.008791411971173209,-0.005548845302980343,-0.055117500148829685,0.008791411971173209,727303,1508,500,False
stoch_d,technical,-0.008714802932443895,-0.006879168666775269,-0.054783903637050296,0.008714802932443895,728031,1508,500,False
pb_ratio,fundamental,0.008664261246564756,0.01193600260998933,0.05354418579610112,0.008664261246564756,728122,1508,499,False
stoch_k,technical,-0.008501820252157689,-0.00775159191824348,-0.05490147395439547,0.008501820252157689,728108,1508,500,False
quality_value_roe_pb,composite,-0.008485081715966371,-0.011644195783038557,-0.05255723152636852,0.008485081715966371,726577,1508,499,False
turnover_rate,technical,0.007848067369939597,0.0004884448145530747,0.05400793950374036,0.007848067369939597,728589,1508,500,False
operating_margin,fundamental,-0.007677916713740707,-0.0022009532635891113,-0.07946201464030887,0.007677916713740707,728404,1508,500,False
mom_vol_adj_60d,composite,-0.007594223203461387,-0.00607991414143121,-0.041934994434996806,0.007594223203461387,726171,1508,500,False
ev_ebitda,fundamental,0.007031485697590425,0.012101197678945344,0.04216020046072889,0.007031485697590425,725085,1508,499,False
fcf_mom_20d,composite,-0.00698353865413811,-0.005852357103841518,-0.05972028302489664,0.00698353865413811,723466,1508,499,False
vwap_deviation,technical,-0.006708930708596882,-0.009446548911169573,-0.04429218324729639,0.006708930708596882,728589,1508,500,False
liquidity_momentum,composite,-0.006635587903588952,-0.006926686956949794,-0.03701448547892545,0.006635587903588952,726213,1508,500,False
ret_vol_interaction_20d,composite,-0.006635587903588952,-0.006926686956949794,-0.03701448547892545,0.006635587903588952,726213,1508,500,False
mom_vol_adj_20d,composite,-0.006521849485622076,-0.0051182480799244,-0.03924754730416466,0.006521849485622076,727836,1508,500,False
rsi_14,technical,-0.006414622590167114,-0.005081917152034843,-0.03730035938426536,0.006414622590167114,728070,1508,500,False
ret_10d,technical,-0.006303974992710328,-0.007931791728329217,-0.03531848165631347,0.006303974992710328,728219,1508,500,False
obv_slope,technical,-0.006132888672092981,-0.00613530120728432,-0.05070828113178458,0.006132888672092981,727875,1508,500,False
momentum_rank_20d,technical,-0.006086590719632703,-0.006280722831649164,-0.03335266991933809,0.006086590719632703,727836,1508,500,False
ret_20d,technical,-0.006086590719632703,-0.006280722831649164,-0.03335266991933809,0.006086590719632703,727836,1508,500,False
rsi_28,technical,-0.00585028922543301,-0.003297769690262474,-0.03218668730689204,0.00585028922543301,727508,1508,500,False
