feature_name,domain,ic,rank_ic,icir,abs_ic,n_obs,n_dates,n_tickers,passed
pb_ratio_sector_rel,sector_relative,0.06890309392372354,0.06890309392372354,0.639651582954049,0.06890309392372354,92000,184,500,True
vol_60d,technical,0.0583837169000256,0.0338370944314054,0.2790414859851353,0.0583837169000256,1033910,1883,645,True
ps_ratio_sector_rel,sector_relative,0.05688890551086962,0.05688890551086962,0.3365837964262056,0.05688890551086962,92000,184,500,True
atr_14,technical,0.056093815457637,0.0287363279074634,0.2636028129583065,0.056093815457637,1035259,1883,646,True
low_52w_ratio,technical,0.055657169797996,0.0401282810066314,0.4066796277400987,0.055657169797996,1035091,1883,646,True
gk_vol,technical,0.0543778125220842,0.0242827645217478,0.2675065455315861,0.0543778125220842,1035091,1883,646,True
pe_ratio_sector_rel,sector_relative,0.0525350981117521,0.0525350981117521,0.36235466534649036,0.0525350981117521,92000,184,500,True
vol_20d,technical,0.0511882557265706,0.0268643745443106,0.2653379655610288,0.0511882557265706,1035063,1883,646,True
vol_rank,technical,0.0511882557265706,0.0268643745443106,0.2653379655610288,0.0511882557265706,1035063,1883,646,True
bb_width,technical,0.0495560061244949,0.0254052930419703,0.3041025255508534,0.0495560061244949,1035091,1883,646,True
value_mom_pb,composite,-0.0422855952171874,-0.0478808631710379,-0.3120661459227245,0.0422855952171874,896864,1883,626,True
quality_value_roe_pb,composite,-0.0404243822764502,-0.0453997808052265,-0.3001733826525408,0.0404243822764502,898252,1883,629,True
pb_ratio,fundamental,0.0386674224651855,0.0446877116069148,0.2878292940956861,0.0386674224651855,987432,1883,629,True
roa_sector_rel,sector_relative,0.038276581147951315,0.038276581147951315,0.25269482405779886,0.038276581147951315,92000,184,500,True
ev_ebitda,fundamental,0.0313428647677149,0.0334921675230847,0.2161991990443387,0.0313428647677149,890795,1883,629,True
operating_margin_sector_rel,sector_relative,0.030930851979367527,0.030930851979367527,0.32004581372456753,0.030930851979367527,92000,184,500,True
ev_ebitda_sector_rel,sector_relative,0.030549570670256234,0.030549570670256234,0.21009775454962237,0.030549570670256234,92000,184,500,True
current_ratio,fundamental,0.0301112274618739,0.0190145823783629,0.2916008588585767,0.0301112274618739,964295,1883,628,True
current_ratio_sector_rel,sector_relative,0.029442681001253797,0.029442681001253797,0.3027293125821144,0.029442681001253797,92000,184,500,True
fcf_yield,fundamental,-0.0279030088688148,-0.0197409220701186,-0.2414458418047227,0.0279030088688148,891661,1883,629,True
dividend_yield,fundamental,-0.0247661400342391,-0.0286749488032119,-0.1611689841923078,0.0247661400342391,743353,1883,493,True
fcf_yield_sector_rel,sector_relative,-0.024651182307901844,-0.024651182307901844,-0.29308543312175844,0.024651182307901844,92000,184,500,True
revenue_growth_yoy,fundamental,0.0232689252885476,0.0171301643748452,0.1815482788773053,0.0232689252885476,874152,1883,631,True
ps_ratio,fundamental,0.0226579522697827,0.0224887573538453,0.147573775320119,0.0226579522697827,891230,1883,629,True
adx_14,technical,0.0209726674052562,0.010729732876538,0.2584892549455038,0.0209726674052562,1034895,1883,646,True
amihud,technical,0.0201220788666338,0.0136688746031855,0.1949007080210532,0.0201220788666338,1035027,1883,646,True
