feature_name,domain,ic,rank_ic,icir,abs_ic,n_obs,n_dates,n_tickers,passed
abnormal_off_exchange_shorting,shorting,,,,,0,0,503,False
above_20dma,technical,-0.013679,-0.013679,-2.561619,0.013679,0,0,503,False
accruals,fundamental,,,,,0,0,503,False
adx_14,technical,0.000274,0.000274,0.067512,0.000274,0,0,503,False
amihud,technical,0.028928,0.028928,6.003885,0.028928,0,0,503,True
analyst_coverage,analyst,-0.008603,-0.008603,-0.062859,0.008603,0,0,503,False
asset_growth,fundamental,,,,,0,0,503,False
atr_14,technical,0.052325,0.052325,5.396919,0.052325,0,0,503,True
bb_position,technical,-0.014921,-0.014921,-2.474369,0.014921,0,0,503,False
bb_width,technical,0.030919,0.030919,4.309634,0.030919,0,0,503,True
breadth_momentum,composite,,,,,0,0,503,False
breadth_pct_above_20dma,composite,-0.013545,-0.013545,-2.473104,0.013545,0,0,503,False
cci_20,technical,-0.015386,-0.015386,-2.582935,0.015386,0,0,503,True
close_to_vwap,intraday,-0.00581,-0.00581,-0.844243,0.00581,0,0,503,False
consensus_upside,analyst_proxy,0.004195,0.004195,0.344437,0.004195,0,0,503,False
coverage_change_proxy,analyst_proxy,,,,,0,0,503,False
credit_spread,macro,,,,,0,0,503,False
credit_spread_change,macro,,,,,0,0,503,False
credit_widening_x_leverage,composite,-0.01137,-0.01137,-2.050252,0.01137,0,0,503,False
crowding_unwind_risk,short_interest,,,,,0,0,503,False
current_ratio,fundamental,,,,,0,0,503,False
curve_inverted_x_growth,composite,0.011868,0.011868,1.030409,0.011868,0,0,503,False
days_since_last_10k,sec_filing,-0.006042,-0.006042,-1.9757,0.006042,0,0,503,False
days_since_last_10q,sec_filing,-0.001338,-0.001338,-0.456595,0.001338,0,0,503,False
days_since_last_8k,sec_filing,0.010979,0.010979,3.946221,0.010979,0,0,503,False
debt_to_equity,fundamental,,,,,0,0,503,False
dividend_yield,fundamental,,,,,0,0,503,False
downgrade_count,analyst_proxy,0.006156,0.006156,2.149385,0.006156,0,0,503,False
earnings_beat_recency,earnings,-0.003347,-0.003347,-1.039405,0.003347,0,0,503,False
earnings_beat_recency_30d,earnings,-0.003347,-0.003347,-1.039405,0.003347,0,0,503,False
earnings_beat_streak,earnings,-0.001753,-0.001753,-0.501513,0.001753,0,0,503,False
earnings_growth_yoy,fundamental,,,,,0,0,503,False
earnings_surprise_avg_4q,earnings,0.008784,0.008784,2.634735,0.008784,0,0,503,False
earnings_surprise_latest,earnings,0.01329,0.01329,4.15924,0.01329,0,0,503,False
earnings_surprise_recency,earnings,0.00871,0.00871,2.828535,0.00871,0,0,503,False
earnings_surprise_recency_20d,earnings,0.007946,0.007946,2.626921,0.007946,0,0,503,False
eps_revision_direction,analyst,-0.004095,-0.004095,-1.716923,0.004095,0,0,503,False
eps_surprise,fundamental,,,,,0,0,503,False
ev_ebitda,fundamental,,,,,0,0,503,False
fcf_mom_20d,composite,-0.015173,-0.015173,-2.930668,0.015173,0,0,503,True
fcf_yield,fundamental,,,,,0,0,503,False
ffr,macro,,,,,0,0,503,False
filing_burst_20d,sec_filing,-0.007399,-0.007399,-2.730011,0.007399,0,0,503,False
financial_health_trend,analyst_proxy,,,,,0,0,503,False
gap_pct,intraday,0.022563,0.022563,6.879665,0.022563,0,0,503,True
gk_vol,technical,0.048003,0.048003,5.360481,0.048003,0,0,503,True
gross_margin,fundamental,,,,,0,0,503,False
has_recent_8k_5d,sec_filing,-0.008043,-0.008043,-3.219106,0.008043,0,0,503,False
high_52w_ratio,technical,-0.020607,-0.020607,-2.305046,0.020607,0,0,503,True
high_vix_x_beta,composite,0.034169,0.034169,1.965128,0.034169,0,0,503,False
idio_vol,technical,0.040279,0.040279,4.784284,0.040279,0,0,503,True
insider_abnormal_buy_90d,insider,-0.006366,-0.006366,-1.585176,0.006366,0,0,503,False
insider_buy_intensity_20d,insider,-0.011833,-0.011833,-5.251616,0.011833,0,0,503,False
insider_buy_value,insider,-0.01702,-0.01702,-6.265219,0.01702,0,0,503,True
insider_cluster_buy,insider,-0.01403,-0.01403,-6.19143,0.01403,0,0,503,False
insider_cluster_buy_30d_w,insider,-0.016792,-0.016792,-7.336914,0.016792,0,0,503,True
insider_net_buy_ratio,insider,-0.009251,-0.009251,-2.947728,0.009251,0,0,503,False
insider_net_intensity_60d,insider,0.012926,0.012926,4.311501,0.012926,0,0,503,False
insider_role_skew_30d,insider,0.018431,0.018431,6.755317,0.018431,0,0,503,True
intraday_ret,intraday,0.001446,0.001446,0.204469,0.001446,0,0,503,False
large_trade_ratio,trade_microstructure,,,,,0,0,503,False
last_30m_ret,intraday,-0.007577,-0.007577,-1.266752,0.007577,0,0,503,False
late_day_aggressiveness,trade_microstructure,,,,,0,0,503,False
leverage_vol_20d,composite,0.002695,0.002695,0.632211,0.002695,0,0,503,False
liquidity_momentum,composite,-0.02288,-0.02288,-3.300207,0.02288,0,0,503,True
low_52w_ratio,technical,0.024,0.024,3.428018,0.024,0,0,503,True
macd_histogram,technical,-0.01497,-0.01497,-2.720025,0.01497,0,0,503,False
macd_signal,technical,-0.020106,-0.020106,-3.03991,0.020106,0,0,503,True
macro_risk_on,composite,,,,,0,0,503,False
margin_quality_combo,composite,0.002212,0.002212,0.466587,0.002212,0,0,503,False
market_ret_20d,macro,,,,,0,0,503,False
mean_reversion_combo,composite,-0.011542,-0.011542,-2.075922,0.011542,0,0,503,False
mom_vol_adj_20d,composite,-0.020008,-0.020008,-3.064053,0.020008,0,0,503,True
mom_vol_adj_60d,composite,-0.010652,-0.010652,-1.461096,0.010652,0,0,503,False
momentum_rank_20d,technical,-0.022352,-0.022352,-3.169094,0.022352,0,0,503,True
momentum_rank_60d,technical,-0.007945,-0.007945,-1.044277,0.007945,0,0,503,False
narrow_leadership_score,composite,0.005682,0.005682,0.755198,0.005682,0,0,503,False
net_grade_change_20d,analyst_proxy,-0.007343,-0.007343,-2.528366,0.007343,0,0,503,False
net_grade_change_5d,analyst_proxy,-0.004579,-0.004579,-1.795088,0.004579,0,0,503,False
net_grade_change_60d,analyst_proxy,,,,,0,0,503,False
obv_slope,technical,-0.015033,-0.015033,-3.130261,0.015033,0,0,503,True
off_exchange_volume_ratio,trade_microstructure,,,,,0,0,503,False
offhours_trade_ratio,trade_microstructure,,,,,0,0,503,False
open_30m_ret,intraday,0.012431,0.012431,1.841045,0.012431,0,0,503,False
operating_margin,fundamental,,,,,0,0,503,False
overnight_gap,daily,0.002196,0.002196,0.316229,0.002196,0,0,503,False
overnight_ret,intraday,0.022563,0.022563,6.879665,0.022563,0,0,503,True
pb_ratio,fundamental,,,,,0,0,503,False
pe_ratio,fundamental,,,,,0,0,503,False
pead_setup,earnings,-0.002184,-0.002184,-0.538957,0.002184,0,0,503,False
profitability_combo,composite,0.00968,0.00968,1.966592,0.00968,0,0,503,False
ps_ratio,fundamental,,,,,0,0,503,False
quality_value_roa_pe,composite,0.000273,0.000273,0.038908,0.000273,0,0,503,False
quality_value_roe_pb,composite,-0.017629,-0.017629,-2.638304,0.017629,0,0,503,True
realized_vol_1d,intraday,0.035516,0.035516,3.625281,0.035516,0,0,503,True
recent_8k_count_20d,sec_filing,-0.009793,-0.009793,-3.67128,0.009793,0,0,503,False
recent_8k_count_5d,sec_filing,-0.008056,-0.008056,-3.197375,0.008056,0,0,503,False
recent_8k_count_60d,sec_filing,-0.013994,-0.013994,-4.603542,0.013994,0,0,503,False
