feature,family,mean_ic,t_stat,sign_consistent_windows,status,excluded_reason
abnormal_off_exchange_shorting,shorting,,,0,FAIL,data_source_block
above_20dma,technical,-0.021365,-2.385294,9,PASS,
accruals,fundamental,,,0,FAIL,family_not_in_horizon
adx_14,technical,0.001922,0.240062,5,FAIL,
amihud,technical,0.015906,1.793209,7,FAIL,
analyst_coverage,analyst,,,0,FAIL,family_not_in_horizon
asset_growth,fundamental,,,0,FAIL,family_not_in_horizon
atr_14,technical,0.03436,2.605462,9,PASS,
bb_position,technical,-0.027189,-2.901768,10,PASS,
bb_width,technical,0.017975,1.797555,8,FAIL,
breadth_momentum,composite,,,0,FAIL,
breadth_pct_above_20dma,composite,-0.022669,-2.501287,9,PASS,
cci_20,technical,-0.02648,-2.838059,10,PASS,
close_to_vwap,intraday,-0.017851,-1.701795,7,FAIL,
consensus_upside,analyst_proxy,,,0,FAIL,family_not_in_horizon
coverage_change_proxy,analyst_proxy,,,0,FAIL,family_not_in_horizon
credit_spread,macro,,,0,FAIL,family_not_in_horizon
credit_spread_change,macro,,,0,FAIL,family_not_in_horizon
credit_widening_x_leverage,composite,0.007011,0.617953,6,FAIL,
crowding_unwind_risk,short_interest,,,0,FAIL,family_not_in_horizon
current_ratio,fundamental,,,0,FAIL,family_not_in_horizon
curve_inverted_x_growth,composite,0.027454,1.573414,3,FAIL,
days_since_last_10k,sec_filing,,,0,FAIL,family_not_in_horizon
days_since_last_10q,sec_filing,,,0,FAIL,family_not_in_horizon
days_since_last_8k,sec_filing,,,0,FAIL,family_not_in_horizon
debt_to_equity,fundamental,,,0,FAIL,family_not_in_horizon
dividend_yield,fundamental,,,0,FAIL,family_not_in_horizon
downgrade_count,analyst_proxy,,,0,FAIL,family_not_in_horizon
earnings_beat_recency,earnings,-0.007662,-1.006414,7,FAIL,
earnings_beat_recency_30d,earnings,-0.007662,-1.006414,7,FAIL,
earnings_beat_streak,earnings,-0.006838,-0.928496,7,FAIL,
earnings_growth_yoy,fundamental,,,0,FAIL,family_not_in_horizon
earnings_surprise_avg_4q,earnings,0.005502,0.7306,3,FAIL,
earnings_surprise_latest,earnings,0.012307,1.646024,7,FAIL,
earnings_surprise_recency,earnings,0.007707,1.007486,6,FAIL,
earnings_surprise_recency_20d,earnings,0.005807,0.755826,6,FAIL,
eps_revision_direction,analyst,,,0,FAIL,family_not_in_horizon
eps_surprise,fundamental,,,0,FAIL,family_not_in_horizon
ev_ebitda,fundamental,,,0,FAIL,family_not_in_horizon
fcf_mom_20d,composite,-0.009502,-1.027444,8,FAIL,
fcf_yield,fundamental,,,0,FAIL,family_not_in_horizon
ffr,macro,,,0,FAIL,family_not_in_horizon
filing_burst_20d,sec_filing,,,0,FAIL,family_not_in_horizon
financial_health_trend,analyst_proxy,,,0,FAIL,family_not_in_horizon
gap_pct,intraday,0.00127,0.148573,5,FAIL,
gk_vol,technical,0.031875,2.539871,9,PASS,
gross_margin,fundamental,,,0,FAIL,family_not_in_horizon
has_recent_8k_5d,sec_filing,,,0,FAIL,family_not_in_horizon
high_52w_ratio,technical,-0.028932,-2.608382,10,PASS,
high_vix_x_beta,composite,0.020702,0.916284,5,FAIL,
