feature,family,mean_ic,t_stat,sign_consistent_windows,status,excluded_reason
abnormal_off_exchange_shorting,shorting,,,0,FAIL,data_source_block
above_20dma,technical,-0.021644,-2.271163,7,PASS,
accruals,fundamental,,,0,FAIL,family_not_in_horizon
adx_14,technical,0.003897,0.480314,7,FAIL,
amihud,technical,-0.004821,-0.522428,4,FAIL,
analyst_coverage,analyst,,,0,FAIL,family_not_in_horizon
asset_growth,fundamental,,,0,FAIL,family_not_in_horizon
atr_14,technical,0.024511,1.794451,6,FAIL,
bb_position,technical,-0.026858,-2.627608,8,PASS,
bb_width,technical,0.015238,1.449638,6,FAIL,
breadth_momentum,composite,,,0,FAIL,
breadth_pct_above_20dma,composite,-0.021942,-2.278533,7,PASS,
cci_20,technical,-0.027414,-2.714142,9,PASS,
close_to_vwap,intraday,-0.02635,-2.417572,10,PASS,
consensus_upside,analyst_proxy,,,0,FAIL,family_not_in_horizon
coverage_change_proxy,analyst_proxy,,,0,FAIL,family_not_in_horizon
credit_spread,macro,,,0,FAIL,family_not_in_horizon
credit_spread_change,macro,,,0,FAIL,family_not_in_horizon
credit_widening_x_leverage,composite,0.013294,1.280324,4,FAIL,
crowding_unwind_risk,short_interest,,,0,FAIL,family_not_in_horizon
current_ratio,fundamental,,,0,FAIL,family_not_in_horizon
curve_inverted_x_growth,composite,0.037356,2.235834,4,FAIL,
days_since_last_10k,sec_filing,,,0,FAIL,family_not_in_horizon
days_since_last_10q,sec_filing,,,0,FAIL,family_not_in_horizon
days_since_last_8k,sec_filing,,,0,FAIL,family_not_in_horizon
debt_to_equity,fundamental,,,0,FAIL,family_not_in_horizon
dividend_yield,fundamental,,,0,FAIL,family_not_in_horizon
downgrade_count,analyst_proxy,,,0,FAIL,family_not_in_horizon
earnings_beat_recency,earnings,,,0,FAIL,family_not_in_horizon
earnings_beat_recency_30d,earnings,,,0,FAIL,family_not_in_horizon
earnings_beat_streak,earnings,,,0,FAIL,family_not_in_horizon
earnings_growth_yoy,fundamental,,,0,FAIL,family_not_in_horizon
earnings_surprise_avg_4q,earnings,,,0,FAIL,family_not_in_horizon
earnings_surprise_latest,earnings,,,0,FAIL,family_not_in_horizon
earnings_surprise_recency,earnings,,,0,FAIL,family_not_in_horizon
earnings_surprise_recency_20d,earnings,,,0,FAIL,family_not_in_horizon
eps_revision_direction,analyst,,,0,FAIL,family_not_in_horizon
eps_surprise,fundamental,,,0,FAIL,family_not_in_horizon
ev_ebitda,fundamental,,,0,FAIL,family_not_in_horizon
fcf_mom_20d,composite,-0.007182,-0.797906,8,FAIL,
fcf_yield,fundamental,,,0,FAIL,family_not_in_horizon
ffr,macro,,,0,FAIL,family_not_in_horizon
filing_burst_20d,sec_filing,,,0,FAIL,family_not_in_horizon
financial_health_trend,analyst_proxy,,,0,FAIL,family_not_in_horizon
gap_pct,intraday,0.024598,2.901493,8,PASS,
gk_vol,technical,0.016574,1.265521,6,FAIL,
gross_margin,fundamental,,,0,FAIL,family_not_in_horizon
has_recent_8k_5d,sec_filing,,,0,FAIL,family_not_in_horizon
high_52w_ratio,technical,-0.022191,-1.846795,10,FAIL,
high_vix_x_beta,composite,0.042168,1.71894,7,FAIL,
idio_vol,technical,0.016282,1.338874,5,FAIL,
insider_abnormal_buy_90d,insider,,,0,FAIL,family_not_in_horizon
insider_buy_intensity_20d,insider,,,0,FAIL,family_not_in_horizon
insider_buy_value,insider,,,0,FAIL,family_not_in_horizon
insider_cluster_buy,insider,,,0,FAIL,family_not_in_horizon
insider_cluster_buy_30d_w,insider,,,0,FAIL,family_not_in_horizon
insider_net_buy_ratio,insider,,,0,FAIL,family_not_in_horizon
insider_net_intensity_60d,insider,,,0,FAIL,family_not_in_horizon
insider_role_skew_30d,insider,,,0,FAIL,family_not_in_horizon
intraday_ret,intraday,-0.02438,-2.181101,8,PASS,
large_trade_ratio,trade_microstructure,,,0,FAIL,sample_disabled_pipeline
last_30m_ret,intraday,-0.009287,-0.916287,8,FAIL,
late_day_aggressiveness,trade_microstructure,,,0,FAIL,sample_disabled_pipeline
leverage_vol_20d,composite,0.019741,2.41723,7,PASS,
liquidity_momentum,composite,-0.021385,-1.986159,8,FAIL,
low_52w_ratio,technical,0.002974,0.26387,7,FAIL,
macd_histogram,technical,-0.023752,-2.437081,8,PASS,
macd_signal,technical,-0.014932,-1.510427,8,FAIL,
macro_risk_on,composite,,,0,FAIL,
margin_quality_combo,composite,-0.005529,-0.643495,5,FAIL,
market_ret_20d,macro,,,0,FAIL,family_not_in_horizon
mean_reversion_combo,composite,-0.022793,-2.37731,8,PASS,
mom_vol_adj_20d,composite,-0.018558,-1.804551,8,FAIL,
mom_vol_adj_60d,composite,-0.017847,-1.697684,7,FAIL,
momentum_rank_20d,technical,-0.022651,-2.063368,8,PASS,
momentum_rank_60d,technical,-0.019578,-1.740644,6,FAIL,
narrow_leadership_score,composite,0.012437,1.074418,6,FAIL,
net_grade_change_20d,analyst_proxy,,,0,FAIL,family_not_in_horizon
net_grade_change_5d,analyst_proxy,,,0,FAIL,family_not_in_horizon
net_grade_change_60d,analyst_proxy,,,0,FAIL,family_not_in_horizon
obv_slope,technical,-0.018209,-2.095261,8,PASS,
off_exchange_volume_ratio,trade_microstructure,,,0,FAIL,sample_disabled_pipeline
offhours_trade_ratio,trade_microstructure,,,0,FAIL,sample_disabled_pipeline
open_30m_ret,intraday,-0.008203,-0.712779,5,FAIL,
operating_margin,fundamental,,,0,FAIL,family_not_in_horizon
overnight_gap,daily,0.001533,0.146988,5,FAIL,
overnight_ret,intraday,0.024598,2.901493,8,PASS,
pb_ratio,fundamental,,,0,FAIL,family_not_in_horizon
pe_ratio,fundamental,,,0,FAIL,family_not_in_horizon
pead_setup,earnings,,,0,FAIL,family_not_in_horizon
profitability_combo,composite,0.005687,0.722129,8,FAIL,
ps_ratio,fundamental,,,0,FAIL,family_not_in_horizon
quality_value_roa_pe,composite,-0.01286,-1.278768,7,FAIL,
quality_value_roe_pb,composite,-0.028432,-2.96898,9,PASS,
realized_vol_1d,intraday,0.015413,1.02317,6,FAIL,
recent_8k_count_20d,sec_filing,,,0,FAIL,family_not_in_horizon
recent_8k_count_5d,sec_filing,,,0,FAIL,family_not_in_horizon
recent_8k_count_60d,sec_filing,,,0,FAIL,family_not_in_horizon
residual_momentum,technical,-0.014379,-1.220651,9,FAIL,
residual_ret_10d,technical,-0.02272,-1.99559,8,FAIL,
residual_ret_5d,technical,-0.027489,-2.323778,7,PASS,
ret_10d,technical,-0.032268,-3.038191,7,PASS,
ret_20d,technical,-0.022651,-2.063368,8,PASS,
ret_5d,technical,-0.037962,-3.422194,7,PASS,
ret_60d,technical,-0.019578,-1.740644,6,FAIL,
ret_vol_interaction_20d,composite,-0.021385,-1.986159,8,FAIL,
ret_vol_interaction_60d,composite,-0.018664,-1.665799,5,FAIL,
return_dispersion_20d,composite,-0.021386,-1.858397,8,FAIL,
revenue_growth_yoy,fundamental,,,0,FAIL,family_not_in_horizon
revenue_revision_pct,analyst,,,0,FAIL,family_not_in_horizon
risk_sentiment,composite,,,0,FAIL,
roa,fundamental,,,0,FAIL,family_not_in_horizon
roe,fundamental,,,0,FAIL,family_not_in_horizon
rsi_14,technical,-0.026669,-2.523507,8,PASS,
rsi_28,technical,-0.026291,-2.459558,8,PASS,
sector_pressure,sector_rotation,,,0,FAIL,family_not_in_horizon
sector_pressure_x_divergence,sector_rotation,,,0,FAIL,family_not_in_horizon
sector_rel_ret_5d,sector_rotation,,,0,FAIL,family_not_in_horizon
sector_volume_surge,sector_rotation,,,0,FAIL,family_not_in_horizon
short_interest_abnormal_1y,short_interest,,,0,FAIL,family_not_in_horizon
short_interest_change,short_interest,,,0,FAIL,family_not_in_horizon
short_interest_change_20d,short_interest,,,0,FAIL,family_not_in_horizon
short_interest_ratio,short_interest,,,0,FAIL,family_not_in_horizon
short_interest_sector_rel,short_interest,,,0,FAIL,family_not_in_horizon
short_sale_accel,shorting,,,0,FAIL,family_not_in_horizon
short_sale_ratio_1d,shorting,,,0,FAIL,family_not_in_horizon
short_sale_ratio_5d,shorting,,,0,FAIL,family_not_in_horizon
short_squeeze_setup,short_interest,,,0,FAIL,family_not_in_horizon
sp500_breadth,macro,,,0,FAIL,family_not_in_horizon
spread_stress,composite,,,0,FAIL,
stoch_d,technical,-0.026396,-2.690454,9,PASS,
stoch_k,technical,-0.021567,-2.210727,8,PASS,
stock_beta_252,technical,0.025095,1.64125,7,FAIL,
stock_vs_sector_20d,sector_rotation,,,0,FAIL,family_not_in_horizon
surprise_flip_qoq,earnings,,,0,FAIL,family_not_in_horizon
surprise_vs_history,earnings,,,0,FAIL,family_not_in_horizon
target_dispersion_proxy,analyst_proxy,,,0,FAIL,family_not_in_horizon
target_price_drift,analyst_proxy,,,0,FAIL,family_not_in_horizon
trade_imbalance_proxy,trade_microstructure,,,0,FAIL,sample_disabled_pipeline
transactions_count_zscore,intraday,0.007388,0.792168,6,FAIL,
trend_confirmation,composite,-0.029399,-2.997298,8,PASS,
turnover_rate,technical,-0.001806,-0.193076,5,FAIL,
upgrade_count,analyst_proxy,,,0,FAIL,family_not_in_horizon
valuation_spread_pb_pe,composite,-0.004238,-0.456637,5,FAIL,
value_mom_pb,composite,-0.030706,-3.252864,10,PASS,
value_mom_pe,composite,-0.011774,-1.176436,7,FAIL,
vix,macro,,,0,FAIL,family_not_in_horizon
vix_change_5d,macro,,,0,FAIL,family_not_in_horizon
vix_rank,macro,,,0,FAIL,family_not_in_horizon
vol_20d,technical,0.019722,1.5805,7,FAIL,
vol_60d,technical,0.018189,1.388785,6,FAIL,
vol_change,technical,-0.003327,-0.400496,6,FAIL,
vol_rank,technical,0.019722,1.5805,7,FAIL,
vol_scaled_reversal_5d,technical,0.027246,2.629597,7,PASS,
volume_curve_surprise,intraday,0.00478,0.49557,5,FAIL,
volume_ratio_20d,technical,-0.001064,-0.137166,5,FAIL,
volume_ratio_5d,technical,-0.003909,-0.498112,4,FAIL,
volume_surge,daily,-0.001051,-0.132967,4,FAIL,
vwap_deviation,technical,-0.027081,-2.95217,9,PASS,
yield_10y,macro,,,0,FAIL,family_not_in_horizon
yield_spread_10y2y,macro,,,0,FAIL,family_not_in_horizon
