feature,family,mean_ic,t_stat,sign_consistent_windows,status,excluded_reason
abnormal_off_exchange_shorting,shorting,,,0,FAIL,data_source_block
above_20dma,technical,-0.002696,-0.241166,0,FAIL,
accruals,fundamental,,,0,FAIL,family_not_in_horizon
adx_14,technical,-0.012268,-1.724419,0,FAIL,
amihud,technical,0.001474,0.192545,0,FAIL,
analyst_coverage,analyst,,,0,FAIL,family_not_in_horizon
asset_growth,fundamental,,,0,FAIL,family_not_in_horizon
atr_14,technical,0.008959,0.580767,0,FAIL,
bb_position,technical,-0.009213,-0.753752,0,FAIL,
bb_width,technical,-0.000986,-0.086464,0,FAIL,
breadth_momentum,composite,,,0,FAIL,
breadth_pct_above_20dma,composite,-0.0021,-0.183204,0,FAIL,
cci_20,technical,-0.009903,-0.813979,0,FAIL,
close_to_vwap,intraday,-0.003033,-0.274478,0,FAIL,
consensus_upside,analyst_proxy,,,0,FAIL,family_not_in_horizon
coverage_change_proxy,analyst_proxy,,,0,FAIL,family_not_in_horizon
credit_spread,macro,,,0,FAIL,family_not_in_horizon
credit_spread_change,macro,,,0,FAIL,family_not_in_horizon
credit_widening_x_leverage,composite,0.001814,0.173423,0,FAIL,
crowding_unwind_risk,short_interest,,,0,FAIL,family_not_in_horizon
current_ratio,fundamental,,,0,FAIL,family_not_in_horizon
curve_inverted_x_growth,composite,,,0,FAIL,
days_since_last_10k,sec_filing,,,0,FAIL,family_not_in_horizon
days_since_last_10q,sec_filing,,,0,FAIL,family_not_in_horizon
days_since_last_8k,sec_filing,,,0,FAIL,family_not_in_horizon
debt_to_equity,fundamental,,,0,FAIL,family_not_in_horizon
dividend_yield,fundamental,,,0,FAIL,family_not_in_horizon
downgrade_count,analyst_proxy,,,0,FAIL,family_not_in_horizon
earnings_beat_recency,earnings,,,0,FAIL,family_not_in_horizon
earnings_beat_recency_30d,earnings,,,0,FAIL,family_not_in_horizon
earnings_beat_streak,earnings,,,0,FAIL,family_not_in_horizon
earnings_growth_yoy,fundamental,,,0,FAIL,family_not_in_horizon
earnings_surprise_avg_4q,earnings,,,0,FAIL,family_not_in_horizon
earnings_surprise_latest,earnings,,,0,FAIL,family_not_in_horizon
earnings_surprise_recency,earnings,,,0,FAIL,family_not_in_horizon
earnings_surprise_recency_20d,earnings,,,0,FAIL,family_not_in_horizon
eps_revision_direction,analyst,,,0,FAIL,family_not_in_horizon
eps_surprise,fundamental,,,0,FAIL,family_not_in_horizon
ev_ebitda,fundamental,,,0,FAIL,family_not_in_horizon
fcf_mom_20d,composite,0.006793,0.755805,0,FAIL,
fcf_yield,fundamental,,,0,FAIL,family_not_in_horizon
ffr,macro,,,0,FAIL,family_not_in_horizon
filing_burst_20d,sec_filing,,,0,FAIL,family_not_in_horizon
financial_health_trend,analyst_proxy,,,0,FAIL,family_not_in_horizon
gap_pct,intraday,0.014719,1.861709,0,FAIL,
gk_vol,technical,0.004352,0.297818,0,FAIL,
gross_margin,fundamental,,,0,FAIL,family_not_in_horizon
has_recent_8k_5d,sec_filing,,,0,FAIL,family_not_in_horizon
high_52w_ratio,technical,0.000133,0.010538,0,FAIL,
high_vix_x_beta,composite,0.026311,0.81158,0,FAIL,
idio_vol,technical,0.012839,0.871198,0,FAIL,
insider_abnormal_buy_90d,insider,,,0,FAIL,family_not_in_horizon
insider_buy_intensity_20d,insider,,,0,FAIL,family_not_in_horizon
insider_buy_value,insider,,,0,FAIL,family_not_in_horizon
insider_cluster_buy,insider,,,0,FAIL,family_not_in_horizon
insider_cluster_buy_30d_w,insider,,,0,FAIL,family_not_in_horizon
insider_net_buy_ratio,insider,,,0,FAIL,family_not_in_horizon
insider_net_intensity_60d,insider,,,0,FAIL,family_not_in_horizon
insider_role_skew_30d,insider,,,0,FAIL,family_not_in_horizon
intraday_ret,intraday,-0.012788,-1.170181,0,FAIL,
large_trade_ratio,trade_microstructure,,,0,FAIL,sample_disabled_pipeline
last_30m_ret,intraday,0.004494,0.391334,0,FAIL,
late_day_aggressiveness,trade_microstructure,,,0,FAIL,sample_disabled_pipeline
