feature,family,mean_ic,t_stat,sign_consistent_windows,status,excluded_reason
abnormal_off_exchange_shorting,shorting,,,0,FAIL,data_source_block
above_20dma,technical,-0.001242,-0.116365,3,FAIL,
accruals,fundamental,,,0,FAIL,family_not_in_horizon
adx_14,technical,-0.007696,-0.85048,2,FAIL,
amihud,technical,-0.018883,-1.541609,3,FAIL,
analyst_coverage,analyst,0.170822,1.291938,1,FAIL,
asset_growth,fundamental,,,0,FAIL,family_not_in_horizon
atr_14,technical,0.038413,1.989962,3,FAIL,
bb_position,technical,-0.005944,-0.466615,4,FAIL,
bb_width,technical,0.015462,1.092668,3,FAIL,
breadth_momentum,composite,,,0,FAIL,
breadth_pct_above_20dma,composite,-0.001992,-0.183139,3,FAIL,
cci_20,technical,-0.006888,-0.5501,4,FAIL,
close_to_vwap,intraday,0.012537,1.105199,3,FAIL,
consensus_upside,analyst_proxy,-0.04627,-3.913318,3,FAIL,
coverage_change_proxy,analyst_proxy,,,0,FAIL,feature_not_applicable_to_horizon
credit_spread,macro,,,0,FAIL,family_not_in_horizon
credit_spread_change,macro,,,0,FAIL,family_not_in_horizon
credit_widening_x_leverage,composite,0.011358,0.744375,3,FAIL,
crowding_unwind_risk,short_interest,,,0,FAIL,family_not_in_horizon
current_ratio,fundamental,,,0,FAIL,family_not_in_horizon
curve_inverted_x_growth,composite,0.029178,2.47594,3,FAIL,
days_since_last_10k,sec_filing,-0.002528,-0.349336,3,FAIL,
days_since_last_10q,sec_filing,-0.011745,-1.886584,4,FAIL,
days_since_last_8k,sec_filing,0.013017,2.301122,4,FAIL,
debt_to_equity,fundamental,,,0,FAIL,family_not_in_horizon
dividend_yield,fundamental,,,0,FAIL,family_not_in_horizon
downgrade_count,analyst_proxy,0.007014,1.360493,4,FAIL,
earnings_beat_recency,earnings,0.001287,0.194199,3,FAIL,
earnings_beat_recency_30d,earnings,0.001287,0.194199,3,FAIL,
earnings_beat_streak,earnings,0.006972,1.044428,3,FAIL,
earnings_growth_yoy,fundamental,,,0,FAIL,family_not_in_horizon
earnings_surprise_avg_4q,earnings,0.000186,0.026792,3,FAIL,
earnings_surprise_latest,earnings,0.018831,2.629799,4,FAIL,
earnings_surprise_recency,earnings,0.012308,1.719187,4,FAIL,
earnings_surprise_recency_20d,earnings,0.013165,1.884942,4,FAIL,
eps_revision_direction,analyst,-0.005098,-1.769076,4,FAIL,
eps_surprise,fundamental,,,0,FAIL,family_not_in_horizon
ev_ebitda,fundamental,,,0,FAIL,family_not_in_horizon
fcf_mom_20d,composite,0.002388,0.232731,3,FAIL,
fcf_yield,fundamental,,,0,FAIL,family_not_in_horizon
ffr,macro,,,0,FAIL,family_not_in_horizon
filing_burst_20d,sec_filing,0.008687,1.368846,4,FAIL,
financial_health_trend,analyst_proxy,,,0,FAIL,feature_not_applicable_to_horizon
gap_pct,intraday,0.020896,4.449523,5,FAIL,
gk_vol,technical,0.028914,1.571927,3,FAIL,
gross_margin,fundamental,,,0,FAIL,family_not_in_horizon
has_recent_8k_5d,sec_filing,-0.009097,-1.824174,4,FAIL,
high_52w_ratio,technical,0.019042,1.196752,4,FAIL,
high_vix_x_beta,composite,0.071495,2.020302,3,FAIL,
idio_vol,technical,0.021607,1.46721,3,FAIL,
insider_abnormal_buy_90d,insider,-0.000124,-0.021033,2,FAIL,
insider_buy_intensity_20d,insider,-0.000481,-0.110401,3,FAIL,
insider_buy_value,insider,-0.021425,-3.838902,2,FAIL,
insider_cluster_buy,insider,-0.012925,-2.892486,3,FAIL,
insider_cluster_buy_30d_w,insider,-0.007954,-1.616126,3,FAIL,
insider_net_buy_ratio,insider,-0.013122,-2.936788,4,FAIL,
insider_net_intensity_60d,insider,0.0053,0.781344,3,FAIL,
insider_role_skew_30d,insider,0.00177,0.259566,3,FAIL,
intraday_ret,intraday,-0.002374,-0.196282,3,FAIL,
large_trade_ratio,trade_microstructure,,,0,FAIL,sample_disabled_pipeline
last_30m_ret,intraday,0.001321,0.136377,2,FAIL,
late_day_aggressiveness,trade_microstructure,,,0,FAIL,sample_disabled_pipeline
leverage_vol_20d,composite,-0.009141,-0.92842,3,FAIL,
liquidity_momentum,composite,0.003225,0.231827,3,FAIL,
low_52w_ratio,technical,0.052263,3.862141,5,FAIL,
macd_histogram,technical,-0.020336,-1.642812,4,FAIL,
macd_signal,technical,0.01209,0.885298,3,FAIL,
macro_risk_on,composite,,,0,FAIL,
margin_quality_combo,composite,0.02246,2.449875,3,FAIL,
market_ret_20d,macro,,,0,FAIL,family_not_in_horizon
mean_reversion_combo,composite,-0.007169,-0.59071,4,FAIL,
mom_vol_adj_20d,composite,0.001994,0.150392,2,FAIL,
mom_vol_adj_60d,composite,0.001514,0.10949,2,FAIL,
momentum_rank_20d,technical,0.00467,0.327746,3,FAIL,
momentum_rank_60d,technical,0.000131,0.009056,2,FAIL,
narrow_leadership_score,composite,0.031616,2.191495,3,FAIL,
net_grade_change_20d,analyst_proxy,-0.011585,-2.309471,5,FAIL,
net_grade_change_5d,analyst_proxy,-0.005583,-1.367776,5,FAIL,
net_grade_change_60d,analyst_proxy,,,0,FAIL,feature_not_applicable_to_horizon
obv_slope,technical,0.001837,0.189455,2,FAIL,
off_exchange_volume_ratio,trade_microstructure,,,0,FAIL,sample_disabled_pipeline
offhours_trade_ratio,trade_microstructure,,,0,FAIL,sample_disabled_pipeline
open_30m_ret,intraday,-0.008498,-0.721718,2,FAIL,
operating_margin,fundamental,,,0,FAIL,family_not_in_horizon
overnight_gap,daily,0.005427,0.421438,4,FAIL,
overnight_ret,intraday,0.020896,4.449523,5,FAIL,
pb_ratio,fundamental,,,0,FAIL,family_not_in_horizon
pe_ratio,fundamental,,,0,FAIL,family_not_in_horizon
pead_setup,earnings,0.003392,0.411873,4,FAIL,
profitability_combo,composite,0.01752,2.360233,3,FAIL,
ps_ratio,fundamental,,,0,FAIL,family_not_in_horizon
quality_value_roa_pe,composite,-0.010649,-0.781581,3,FAIL,
quality_value_roe_pb,composite,-0.034625,-3.092383,4,FAIL,
realized_vol_1d,intraday,0.013028,0.711163,3,FAIL,
recent_8k_count_20d,sec_filing,-0.014055,-2.688098,4,FAIL,
recent_8k_count_5d,sec_filing,-0.008551,-1.703021,4,FAIL,
recent_8k_count_60d,sec_filing,-0.005653,-0.961477,3,FAIL,
residual_momentum,technical,-0.027786,-2.214142,5,FAIL,
residual_ret_10d,technical,-0.011971,-0.994959,4,FAIL,
residual_ret_5d,technical,-0.01513,-1.196021,4,FAIL,
ret_10d,technical,-0.004795,-0.343576,3,FAIL,
ret_20d,technical,0.00467,0.327746,3,FAIL,
ret_5d,technical,-0.011384,-0.773443,4,FAIL,
ret_60d,technical,0.000131,0.009056,2,FAIL,
ret_vol_interaction_20d,composite,0.003225,0.231827,3,FAIL,
ret_vol_interaction_60d,composite,-0.000334,-0.023082,4,FAIL,
return_dispersion_20d,composite,0.005882,0.398782,3,FAIL,
revenue_growth_yoy,fundamental,,,0,FAIL,family_not_in_horizon
revenue_revision_pct,analyst,-0.316657,-0.862457,1,FAIL,
risk_sentiment,composite,,,0,FAIL,
roa,fundamental,,,0,FAIL,family_not_in_horizon
roe,fundamental,,,0,FAIL,family_not_in_horizon
rsi_14,technical,-0.000872,-0.065162,2,FAIL,
rsi_28,technical,0.006347,0.453086,3,FAIL,
sector_pressure,sector_rotation,,,0,FAIL,family_not_in_horizon
sector_pressure_x_divergence,sector_rotation,,,0,FAIL,family_not_in_horizon
sector_rel_ret_5d,sector_rotation,,,0,FAIL,family_not_in_horizon
sector_volume_surge,sector_rotation,,,0,FAIL,family_not_in_horizon
short_interest_abnormal_1y,short_interest,,,0,FAIL,family_not_in_horizon
short_interest_change,short_interest,,,0,FAIL,family_not_in_horizon
short_interest_change_20d,short_interest,,,0,FAIL,family_not_in_horizon
short_interest_ratio,short_interest,,,0,FAIL,family_not_in_horizon
short_interest_sector_rel,short_interest,,,0,FAIL,family_not_in_horizon
short_sale_accel,shorting,-0.008735,-1.64293,4,FAIL,
short_sale_ratio_1d,shorting,,,0,FAIL,
short_sale_ratio_5d,shorting,-0.021021,-2.701654,4,FAIL,
short_squeeze_setup,short_interest,,,0,FAIL,family_not_in_horizon
sp500_breadth,macro,,,0,FAIL,family_not_in_horizon
spread_stress,composite,,,0,FAIL,
stoch_d,technical,-0.00929,-0.757915,4,FAIL,
stoch_k,technical,-0.009812,-0.802835,4,FAIL,
stock_beta_252,technical,0.057964,2.615175,3,FAIL,
stock_vs_sector_20d,sector_rotation,,,0,FAIL,family_not_in_horizon
surprise_flip_qoq,earnings,0.011163,2.220831,3,FAIL,
surprise_vs_history,earnings,0.015737,2.886617,3,FAIL,
target_dispersion_proxy,analyst_proxy,0.008294,0.437231,2,FAIL,
target_price_drift,analyst_proxy,,,0,FAIL,feature_not_applicable_to_horizon
trade_imbalance_proxy,trade_microstructure,,,0,FAIL,sample_disabled_pipeline
transactions_count_zscore,intraday,0.002323,0.332973,3,FAIL,
trend_confirmation,composite,-0.017671,-1.431379,4,FAIL,
turnover_rate,technical,-0.016259,-1.285827,4,FAIL,
upgrade_count,analyst_proxy,-0.003087,-0.626586,3,FAIL,
valuation_spread_pb_pe,composite,-0.005746,-0.548424,3,FAIL,
value_mom_pb,composite,-0.033666,-3.090998,4,FAIL,
value_mom_pe,composite,-0.011311,-0.840306,3,FAIL,
vix,macro,,,0,FAIL,family_not_in_horizon
vix_change_5d,macro,,,0,FAIL,family_not_in_horizon
vix_rank,macro,,,0,FAIL,family_not_in_horizon
vol_20d,technical,0.036861,2.112314,3,FAIL,
vol_60d,technical,0.039549,2.158154,3,FAIL,
vol_change,technical,0.004547,0.579159,3,FAIL,
vol_rank,technical,0.036861,2.112314,3,FAIL,
vol_scaled_reversal_5d,technical,0.008835,0.692221,4,FAIL,
volume_curve_surprise,intraday,0.001773,0.248746,3,FAIL,
volume_ratio_20d,technical,-0.006746,-0.994182,3,FAIL,
volume_ratio_5d,technical,-0.008468,-1.320323,3,FAIL,
volume_surge,daily,0.003456,0.530252,4,FAIL,
vwap_deviation,technical,0.005231,0.480727,2,FAIL,
yield_10y,macro,,,0,FAIL,family_not_in_horizon
yield_spread_10y2y,macro,,,0,FAIL,family_not_in_horizon
