feature,family,mean_ic,t_stat,sign_consistent_windows,status,excluded_reason
abnormal_off_exchange_shorting,shorting,,,0,FAIL,data_source_block
above_20dma,technical,-0.016243,-2.419895,6,FAIL,
accruals,fundamental,,,0,FAIL,family_not_in_horizon
adx_14,technical,0.001867,0.36475,6,FAIL,
amihud,technical,0.000242,0.047691,4,FAIL,
analyst_coverage,analyst,,,0,FAIL,family_not_in_horizon
asset_growth,fundamental,,,0,FAIL,family_not_in_horizon
atr_14,technical,0.026288,2.419269,7,PASS,
bb_position,technical,-0.021043,-2.786825,8,PASS,
bb_width,technical,0.012669,1.542339,5,FAIL,
breadth_momentum,composite,,,0,FAIL,
breadth_pct_above_20dma,composite,-0.016679,-2.418331,7,PASS,
cci_20,technical,-0.020517,-2.751106,8,PASS,
close_to_vwap,intraday,-0.012921,-1.735736,7,FAIL,
consensus_upside,analyst_proxy,,,0,FAIL,family_not_in_horizon
coverage_change_proxy,analyst_proxy,,,0,FAIL,family_not_in_horizon
credit_spread,macro,,,0,FAIL,family_not_in_horizon
credit_spread_change,macro,,,0,FAIL,family_not_in_horizon
credit_widening_x_leverage,composite,-0.005501,-0.907684,8,FAIL,
crowding_unwind_risk,short_interest,,,0,FAIL,family_not_in_horizon
current_ratio,fundamental,,,0,FAIL,family_not_in_horizon
curve_inverted_x_growth,composite,0.030687,2.844529,5,FAIL,
days_since_last_10k,sec_filing,,,0,FAIL,family_not_in_horizon
days_since_last_10q,sec_filing,,,0,FAIL,family_not_in_horizon
days_since_last_8k,sec_filing,,,0,FAIL,family_not_in_horizon
debt_to_equity,fundamental,,,0,FAIL,family_not_in_horizon
dividend_yield,fundamental,,,0,FAIL,family_not_in_horizon
downgrade_count,analyst_proxy,,,0,FAIL,family_not_in_horizon
earnings_beat_recency,earnings,,,0,FAIL,family_not_in_horizon
earnings_beat_recency_30d,earnings,,,0,FAIL,family_not_in_horizon
earnings_beat_streak,earnings,,,0,FAIL,family_not_in_horizon
earnings_growth_yoy,fundamental,,,0,FAIL,family_not_in_horizon
earnings_surprise_avg_4q,earnings,,,0,FAIL,family_not_in_horizon
earnings_surprise_latest,earnings,,,0,FAIL,family_not_in_horizon
earnings_surprise_recency,earnings,,,0,FAIL,family_not_in_horizon
earnings_surprise_recency_20d,earnings,,,0,FAIL,family_not_in_horizon
eps_revision_direction,analyst,,,0,FAIL,family_not_in_horizon
eps_surprise,fundamental,,,0,FAIL,family_not_in_horizon
ev_ebitda,fundamental,,,0,FAIL,family_not_in_horizon
fcf_mom_20d,composite,-0.012089,-2.184029,10,FAIL,
fcf_yield,fundamental,,,0,FAIL,family_not_in_horizon
